ID_REF	GSM861609	GSM861610	GSM861611	GSM861612	GSM861613	GSM861615
10346141	1.49259	1.58678	1.663779	1.521627	1.401865	1.468398
10346146	5.220713	5.135373	5.41069	5.286187	5.247767	5.227155
10346150	5.8136	5.807916	5.748712	5.249743	5.551741	5.182642
10346164	4.137167	4.382702	4.486038	4.148352	3.734677	4.068502
10346168	3.518441	3.611854	3.735409	3.628904	3.48453	3.50677
10346191	5.173735	4.962935	5.156157	4.981128	5.089251	4.793151
10346222	3.342532	3.461493	2.734805	2.95708	2.460301	2.839214
10346224	7.026387	7.218772	6.977909	7.229361	7.16836	6.932991
10346235	4.970955	5.075054	4.965283	5.03043	4.990314	4.798086
10346250	2.97813	3.04343	2.63835	2.74844	2.692491	2.745366
10346255	5.505805	5.370892	5.562027	5.503006	5.442851	5.469748
10346260	4.056345	4.233432	4.163096	4.329417	4.107549	4.590807
10346269	3.352312	3.113866	3.055713	2.871233	2.952089	3.178328
10346298	4.725294	4.609488	4.408729	4.703347	4.60874	4.696571
10346303	7.618117	7.722002	7.606886	7.977699	7.793144	7.918805
10346310	6.401103	6.449753	6.123709	6.608684	6.235994	6.260707
10346321	2.596426	2.4593	2.579794	2.961028	2.699557	2.518373
10346323	5.860862	5.735274	5.75045	5.914194	5.834946	6.000694
10346328	5.61714	5.821582	5.444992	6.104977	5.738508	5.610566
10346330	8.05301	7.989368	7.894991	5.851141	5.774371	5.428988
10346337	6.33565	6.331504	6.384964	6.362957	6.245495	6.734344
10346340	4.104848	4.181494	4.100104	4.248902	4.500469	4.104009
10346348	7.15854	7.097124	7.019417	6.795763	6.872724	6.928976
10346365	6.261123	6.42	6.426785	6.332988	6.390791	6.358202
10346374	4.145757	4.171101	4.209638	3.864264	3.847996	3.961249
10346410	3.653239	3.860718	3.678959	3.339819	3.36185	3.6934
10346448	4.083854	4.069994	4.032965	4.019646	4.130231	4.134847
10346485	3.637317	3.805989	3.642467	3.909776	4.005392	3.812526
10346523	9.748163	9.832775	9.530822	10.08852	9.82522	9.819944
10346533	6.910746	6.900376	6.988472	7.153925	7.111619	7.091472
10346544	5.378879	5.573629	5.273121	5.477494	5.449307	5.499945
10346549	8.923257	8.958344	8.669925	9.386796	8.941631	8.945326
10346551	5.80144	5.779201	5.516682	5.811983	5.693143	5.667049
10346562	5.174203	5.437573	5.008671	5.055193	5.263582	4.911222
10346564	3.956392	3.889527	3.868716	4.352333	2.710123	3.683527
10346576	5.974202	6.005042	5.761766	5.875669	5.992919	6.056261
10346592	5.637582	5.426494	5.659675	5.596899	5.70389	5.523666
10346594	2.882656	2.860893	3.160426	2.783988	3.241406	3.037682
10346607	8.239125	8.221999	8.1654	8.439414	8.362235	8.305264
10346611	3.042343	2.945279	3.034078	3.035133	3.138678	2.880747
10346634	7.564232	7.560511	7.288713	7.942788	7.808333	7.732211
10346651	8.728548	8.730799	8.532343	8.46348	8.652109	8.627115
10346668	7.07237	6.887182	7.052454	7.127712	7.18499	7.087443
10346678	5.583151	5.5848	5.556534	5.613074	5.566593	5.553805
10346695	5.366144	5.568827	5.5597	5.543961	5.671668	5.402882
10346722	4.996385	5.184903	5.186722	5.11305	5.188395	5.28919
10346747	5.916646	5.719691	5.805924	5.981663	5.905488	5.780898
10346762	4.191673	4.005767	4.302678	3.901798	4.223604	3.772858
10346764	7.307359	7.374106	7.312098	7.193462	7.248982	7.202895
10346780	9.820948	9.830413	9.759848	10.05594	9.896033	9.906693
10346783	2.945399	3.105908	3.367078	3.019313	2.985641	3.041595
10346790	2.935717	2.592537	2.800225	2.817265	3.279375	3.218074
10346799	3.919714	3.992679	3.820774	4.026037	3.980765	3.833019
10346808	9.849993	9.835564	9.708263	9.849594	9.626155	9.526276
10346810	5.613019	5.462923	5.820701	5.225979	5.263793	5.698077
10346838	5.23068	5.306332	5.288275	5.157048	4.927858	5.050831
10346840	6.655638	6.620801	6.620801	6.586185	6.052366	6.493051
10346843	6.997042	6.908794	7.149094	7.336981	7.297209	7.51744
10346867	7.715015	7.683074	7.672446	7.833885	7.727243	7.795937
10346874	4.933201	4.814165	4.639269	5.014827	5.083642	5.013791
10346876	3.779985	3.706867	3.578183	3.779985	3.799813	3.835348
10346878	7.331101	7.476691	7.622728	7.29967	7.4241	7.456413
